Participant,Worker,Overall,RecommendHiring,Colleague,Engaged,Excited,EyeContact,Smiled,SpeakingRate,NoFillers,Friendly,Paused,EngagingTone,StructuredAnswers,Calm,NotStressed,Focused,Authentic,NotAwkward,Total
p17,A1ZQ7A1CUV6RD8,5.0,4.0,5.0,7.0,5.0,4.0,5.0,5.25,3.0,7.0,6.0,6.0,2.0,7.0,7.0,7.0,7.0,4.0,96.25
p17,A2F7D8EOTB663,5.0,5.0,6.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,110.0
p17,A323WW03VM8089,3.0,4.0,5.0,4.0,5.0,5.0,4.0,7.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,4.0,7.0,2.0,76.0
p17,A34M93NJC830DP,5.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,87.0
p17,ABM77ZQWCHPNX,2.0,2.0,4.0,4.0,4.0,5.0,2.0,7.0,2.0,5.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,62.0
p17,ANUXUJE8QRE0C,6.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,2.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,111.0
p17,ARX0S1CIDJLOX,4.0,5.0,5.0,6.0,6.0,7.0,7.0,4.0,4.0,5.0,7.0,6.0,5.0,1.0,1.0,7.0,7.0,2.0,89.0
p17,AGGR,4.33230466054,3.86705198033,4.99375330027,5.26704854438,4.32393689848,5.53570962358,5.65784103185,4.79674683377,4.22103333385,6.08019342206,5.94177581729,4.75222535527,4.52388447566,4.37808369204,4.67379302533,5.6805073146,6.31661508529,3.97258220099,89.3150865956
p20,A1ITBXITLY2952,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,72.0
p20,A1OLRUT93TXWEP,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,80.0
p20,A1ZQ7A1CUV6RD8,5.0,5.0,6.0,7.0,5.0,4.0,5.0,7.0,4.0,7.0,7.0,4.0,1.0,7.0,7.0,6.0,7.0,5.0,99.0
p20,A2F7D8EOTB663,5.0,4.0,6.0,4.0,4.0,4.0,2.0,4.0,3.0,6.0,7.0,3.0,5.0,7.0,6.0,6.0,6.0,6.0,88.0
p20,A323WW03VM8089,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,68.0
p20,A34M93NJC830DP,5.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,84.0
p20,ABM77ZQWCHPNX,2.0,2.0,6.0,2.0,2.0,4.0,6.0,7.0,2.0,4.0,6.0,3.0,5.0,7.0,7.0,1.0,4.0,6.0,76.0
p20,ANUXUJE8QRE0C,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.25,3.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,89.25
p20,ARX0S1CIDJLOX,6.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,4.0,6.0,7.0,6.0,3.0,5.0,5.0,6.0,6.0,4.0,98.0
p20,AGGR,4.23654567617,3.84469388924,4.70253480141,4.48111211651,4.00191503118,4.63165505158,4.65361718382,4.89209819381,3.75525103394,4.80404635404,5.73994436777,3.89482806741,3.7256960304,5.3013559853,5.18828625892,5.10174563879,5.13730108171,4.32328522952,82.4159119915
p21,A1ITBXITLY2952,5.0,5.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,96.0
p21,A1OLRUT93TXWEP,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,1.0,67.0
p21,A1ZQ7A1CUV6RD8,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,2.0,7.0,7.0,7.0,7.0,7.0,111.0
p21,A2F7D8EOTB663,3.0,4.0,6.0,6.0,5.0,5.0,6.0,3.0,1.0,5.0,5.0,4.0,1.0,3.0,3.0,6.0,6.0,2.0,74.0
p21,A323WW03VM8089,2.0,2.0,1.0,3.0,4.0,5.0,3.0,7.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,61.0
p21,A34M93NJC830DP,3.0,2.0,3.0,5.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,6.0,5.0,73.0
p21,ABM77ZQWCHPNX,5.0,5.0,5.0,2.0,6.0,7.0,1.0,7.0,2.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,96.0
p21,ANUXUJE8QRE0C,4.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,5.0,5.0,4.0,6.0,6.0,4.0,99.0
p21,ARX0S1CIDJLOX,1.0,1.0,1.0,5.0,4.0,5.0,6.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,7.0,1.0,51.0
p21,AGGR,3.33252171655,3.24399530193,4.20505182183,4.98940167615,4.57800636939,5.54012570529,5.39460559604,4.51327848284,2.64383071631,5.37712385753,5.49465257443,4.43856006215,2.80873146245,4.00232978888,3.86149649712,5.06388733079,6.13526594477,3.571453726,79.1943186305
p22,A1ITBXITLY2952,6.0,6.0,6.0,6.0,3.0,5.0,6.0,3.0,4.0,4.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,93.0
p22,A1OLRUT93TXWEP,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,81.0
p22,A1ZQ7A1CUV6RD8,6.0,5.0,5.0,7.0,2.0,3.0,1.0,5.25,2.0,1.0,7.0,2.0,1.0,7.0,7.0,6.0,5.0,5.0,77.25
p22,A2F7D8EOTB663,6.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,112.0
p22,A323WW03VM8089,4.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,4.0,77.0
p22,A34M93NJC830DP,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,79.0
p22,ABM77ZQWCHPNX,4.0,4.0,4.0,2.0,3.0,6.0,7.0,7.0,2.0,4.0,7.0,3.0,4.0,1.0,1.0,4.0,7.0,7.0,77.0
p22,ANUXUJE8QRE0C,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.25,3.0,7.0,6.0,4.0,6.0,5.0,5.0,7.0,7.0,6.0,102.25
p22,ARX0S1CIDJLOX,5.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,7.0,4.0,5.0,6.0,5.0,7.0,6.0,5.0,96.0
p22,AGGR,5.29356410776,4.97891595559,4.93636495451,4.98940167615,3.93794896466,4.90461927466,4.84475468234,4.54481259933,4.06072996124,4.36244591073,5.59690180362,3.5620510515,4.75560066436,5.41205700825,5.20529234374,5.8032252977,5.75599580843,5.33095726662,88.2756393312
p24,A1ITBXITLY2952,5.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,5.0,7.0,7.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,99.0
p24,A1OLRUT93TXWEP,6.0,7.0,6.0,6.0,7.0,7.0,7.0,4.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,109.0
p24,A1ZQ7A1CUV6RD8,6.0,6.0,6.0,7.0,6.0,6.0,6.0,3.5,6.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,6.0,2.0,104.5
p24,A2F7D8EOTB663,6.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,7.0,5.0,5.0,4.0,6.0,6.0,7.0,6.0,7.0,107.0
p24,A323WW03VM8089,5.0,5.0,2.0,6.0,5.0,4.0,5.0,5.25,3.0,7.0,3.0,6.0,4.0,5.0,5.0,6.0,7.0,5.0,88.25
p24,A34M93NJC830DP,6.0,6.0,5.0,6.0,5.0,6.0,7.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,103.0
p24,ABM77ZQWCHPNX,5.0,5.0,5.0,2.0,6.0,2.0,1.0,7.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,7.0,7.0,94.0
p24,ANUXUJE8QRE0C,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,122.0
p24,ARX0S1CIDJLOX,6.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0,3.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,5.0,110.0
p24,AGGR,5.77173303692,6.01571666404,5.73303596655,6.07286554433,6.01493975978,6.05367615561,6.43726667033,4.46527835631,4.68477352611,6.56263386472,6.15912983982,5.91414269143,4.85459639205,5.78303818694,5.57769053034,6.08548008293,6.20313838421,5.88297420383,104.272109856
p25,A1ITBXITLY2952,4.0,4.0,4.0,5.0,4.0,4.0,6.0,3.0,1.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,3.0,79.0
p25,A1OLRUT93TXWEP,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,83.0
p25,A1ZQ7A1CUV6RD8,4.0,5.0,6.0,6.0,5.0,1.0,4.0,5.25,1.0,3.0,7.0,5.0,3.0,6.0,6.0,7.0,5.0,2.0,81.25
p25,A2F7D8EOTB663,6.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,6.0,6.0,102.0
p25,A323WW03VM8089,4.0,4.0,6.0,3.0,6.0,3.0,5.0,7.0,2.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,3.0,75.0
p25,A34M93NJC830DP,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,93.0
p25,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,5.0,2.0,5.0,7.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,6.0,4.0,68.0
p25,ANUXUJE8QRE0C,7.0,7.0,7.0,7.0,7.0,2.0,7.0,5.25,1.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,108.25
p25,ARX0S1CIDJLOX,6.0,6.0,6.0,6.0,5.0,6.0,7.0,3.0,1.0,6.0,7.0,5.0,5.0,6.0,6.0,7.0,7.0,5.0,100.0
p25,AGGR,5.01663651881,4.86769721353,5.22631337469,5.23750674843,5.04111863294,4.36481063995,5.29878378716,4.41765021419,2.65871530818,5.26243597731,5.64989437318,4.70942794447,4.65014861926,5.00726356573,5.20802386978,5.51561952404,5.92273458331,4.10372023153,88.1585011265
p27,A1ITBXITLY2952,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,3.0,78.0
p27,A1OLRUT93TXWEP,5.0,5.0,7.0,5.0,6.0,4.0,5.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,85.0
p27,A1ZQ7A1CUV6RD8,6.0,6.0,4.0,7.0,6.0,6.0,2.0,5.25,7.0,6.0,7.0,4.0,3.0,7.0,7.0,7.0,7.0,4.0,101.25
p27,A2F7D8EOTB663,6.0,6.0,6.0,7.0,5.0,7.0,4.0,5.0,7.0,5.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,109.0
p27,A323WW03VM8089,4.0,4.0,2.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,3.0,75.0
p27,A34M93NJC830DP,6.0,5.0,5.0,6.0,4.0,6.0,4.0,4.0,6.0,4.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,98.0
p27,ABM77ZQWCHPNX,2.0,2.0,2.0,6.0,3.0,4.0,5.0,7.0,3.0,4.0,2.0,4.0,5.0,6.0,6.0,2.0,5.0,4.0,72.0
p27,ANUXUJE8QRE0C,6.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,6.0,7.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,112.0
p27,ARX0S1CIDJLOX,5.0,4.0,6.0,5.0,4.0,5.0,6.0,3.0,5.0,5.0,7.0,4.0,7.0,6.0,5.0,6.0,6.0,4.0,93.0
p27,AGGR,5.20000084069,4.74608220442,4.98873833239,5.62245080381,4.34079775399,5.09741814259,4.1017803872,4.55276320665,4.57779389026,4.63113259979,5.37718610843,4.70730165651,5.35963065424,5.55101970827,5.93758483433,5.93234809163,5.83690910326,4.74436932842,91.3053076469
p29,A1ITBXITLY2952,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,5.0,6.0,99.0
p29,A1OLRUT93TXWEP,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,95.0
p29,A1ZQ7A1CUV6RD8,5.0,4.0,4.0,7.0,3.0,3.0,3.0,3.5,7.0,5.0,7.0,4.0,1.0,7.0,7.0,7.0,7.0,6.0,90.5
p29,A2F7D8EOTB663,5.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,107.0
p29,A323WW03VM8089,4.0,5.0,6.0,5.0,4.0,3.0,4.0,7.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,84.0
p29,A34M93NJC830DP,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,95.0
p29,ABM77ZQWCHPNX,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.25,2.0,4.0,7.0,3.0,4.0,7.0,7.0,4.0,7.0,7.0,83.25
p29,ANUXUJE8QRE0C,6.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,4.0,7.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,113.0
p29,ARX0S1CIDJLOX,6.0,7.0,7.0,6.0,7.0,5.0,6.0,5.0,3.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,7.0,6.0,107.0
p29,AGGR,5.19001740281,5.10441311797,5.3620676517,5.44529140249,4.50085225745,5.01455267987,5.44290876085,4.83298193427,4.95869655031,5.27795855032,6.25533122615,5.46070823045,5.01152235113,6.30135305069,6.10794345375,5.68189723372,6.09326902586,5.57644356174,97.6182084415
p30,A1ITBXITLY2952,3.0,2.0,4.0,3.0,3.0,5.0,6.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,4.0,4.0,6.0,1.0,71.0
p30,A1OLRUT93TXWEP,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,77.0
p30,A1ZQ7A1CUV6RD8,3.0,3.0,2.0,4.0,1.0,3.0,4.0,7.0,3.0,4.0,7.0,2.0,1.0,7.0,5.0,6.0,5.0,1.0,68.0
p30,A2F7D8EOTB663,4.0,4.0,5.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,3.0,6.0,5.0,6.0,6.0,4.0,83.0
p30,A323WW03VM8089,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.5,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,44.5
p30,A34M93NJC830DP,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,73.0
p30,ABM77ZQWCHPNX,2.0,2.0,2.0,2.0,2.0,6.0,5.0,7.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,59.0
p30,ANUXUJE8QRE0C,5.0,5.0,5.0,6.0,4.0,3.0,7.0,5.25,7.0,7.0,6.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,103.25
p30,ARX0S1CIDJLOX,2.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,3.0,1.0,6.0,1.0,5.0,3.0,3.0,2.0,4.0,1.0,47.0
p30,AGGR,3.64357955615,3.18966091988,3.76838867428,3.84773792992,3.01718663299,3.77718226795,5.25941439481,3.79194498091,4.72821575336,4.50753131862,5.32236121779,2.3043040744,3.59713349546,4.53579887894,4.13186019554,4.4322250852,5.3409377699,2.58584540875,71.7813085548
p31,A1ITBXITLY2952,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,69.0
p31,A1OLRUT93TXWEP,5.0,4.0,2.0,6.0,6.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,6.0,6.0,6.0,7.0,4.0,3.0,87.0
p31,A1ZQ7A1CUV6RD8,5.0,6.0,5.0,6.0,5.0,4.0,5.0,5.25,3.0,6.0,7.0,4.0,2.0,7.0,7.0,5.0,6.0,4.0,92.25
p31,A2F7D8EOTB663,6.0,6.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,4.0,6.0,4.0,6.0,6.0,7.0,6.0,7.0,110.0
p31,A323WW03VM8089,4.0,5.0,6.0,5.0,6.0,3.0,4.0,7.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,7.0,3.0,82.0
p31,A34M93NJC830DP,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,88.0
p31,ABM77ZQWCHPNX,3.0,3.0,3.0,3.0,6.0,7.0,5.0,7.0,3.0,5.0,7.0,5.0,5.0,7.0,7.0,6.0,5.0,7.0,94.0
p31,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,115.0
p31,ARX0S1CIDJLOX,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,4.0,3.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,4.0,79.0
p31,AGGR,4.57767820678,4.53062038369,4.49215445248,5.06145447806,5.32994428642,4.54540203239,5.35520340256,4.98325096409,3.73571462122,4.9466683884,5.41646730296,4.93984116647,4.72572824874,5.28404524329,5.21779803149,5.68451601088,5.3419899654,4.48163748302,88.6501146683
p32,A1ITBXITLY2952,6.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,2.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,105.0
p32,A1OLRUT93TXWEP,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,111.0
p32,A1ZQ7A1CUV6RD8,6.0,6.0,7.0,7.0,6.0,5.0,7.0,3.5,2.0,7.0,7.0,6.0,2.0,7.0,7.0,6.0,7.0,2.0,100.5
p32,A2F7D8EOTB663,7.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,116.0
p32,A323WW03VM8089,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.25,4.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,7.0,6.0,98.25
p32,A34M93NJC830DP,6.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,98.0
p32,ABM77ZQWCHPNX,6.0,6.0,6.0,1.0,2.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,105.0
p32,ANUXUJE8QRE0C,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,3.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,115.0
p32,ARX0S1CIDJLOX,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,3.0,7.0,7.0,6.0,6.0,3.0,4.0,7.0,6.0,6.0,108.0
p32,AGGR,6.29487349634,6.14885632085,6.18298546935,6.01056045187,6.06934933724,5.77622119569,6.72840513159,4.82608322541,3.93612393329,6.72840513159,5.83214366867,5.98211754597,5.39823147181,5.46293333461,6.09992042466,6.29234838489,6.54125576806,5.82273135248,106.133545644
p33,A1ITBXITLY2952,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,2.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,90.0
p33,A1OLRUT93TXWEP,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,3.0,6.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,109.0
p33,A1ZQ7A1CUV6RD8,3.0,4.0,4.0,3.0,3.0,2.0,6.0,7.0,1.0,6.0,7.0,7.0,4.0,3.0,4.0,3.0,6.0,3.0,76.0
p33,A2F7D8EOTB663,6.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,5.0,5.0,7.0,6.0,7.0,7.0,112.0
p33,A323WW03VM8089,4.0,6.0,7.0,3.0,6.0,4.0,4.0,3.5,4.0,7.0,3.0,5.0,3.0,4.0,3.0,5.0,7.0,4.0,82.5
p33,A34M93NJC830DP,5.0,4.0,4.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,93.0
p33,ABM77ZQWCHPNX,5.0,5.0,3.0,7.0,6.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,5.0,3.0,3.0,6.0,7.0,4.0,98.0
p33,ANUXUJE8QRE0C,7.0,7.0,7.0,7.0,7.0,3.0,7.0,3.5,3.0,7.0,2.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,105.5
p33,ARX0S1CIDJLOX,3.0,2.0,4.0,4.0,3.0,2.0,5.0,7.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,58.0
p33,AGGR,5.27781577806,5.01738726928,5.10756477797,5.73261789065,5.30290190791,4.91592355415,6.04694774988,4.96478242257,3.32944323527,6.07138864652,5.32454652497,6.14822521635,5.07688543471,4.47351517794,4.94620562013,5.40636808232,6.41540277151,4.8440488343,94.4019708945
p34,A1ITBXITLY2952,6.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,106.0
p34,A1OLRUT93TXWEP,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,89.0
p34,A1ZQ7A1CUV6RD8,7.0,7.0,6.0,7.0,6.0,6.0,7.0,3.5,6.0,7.0,6.0,6.0,2.0,7.0,7.0,7.0,7.0,6.0,110.5
p34,A2F7D8EOTB663,6.0,6.0,7.0,7.0,7.0,5.0,7.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,111.0
p34,A323WW03VM8089,5.0,5.0,4.0,5.0,6.0,4.0,4.0,7.0,5.0,6.0,3.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,88.0
p34,A34M93NJC830DP,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,85.0
p34,ABM77ZQWCHPNX,4.0,4.0,4.0,3.0,5.0,6.0,2.0,7.0,3.0,6.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,81.0
p34,ANUXUJE8QRE0C,6.0,6.0,6.0,6.0,6.0,3.0,6.0,5.25,2.0,7.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,102.25
p34,ARX0S1CIDJLOX,6.0,7.0,6.0,7.0,6.0,6.0,7.0,5.0,4.0,7.0,6.0,7.0,5.0,4.0,5.0,7.0,5.0,5.0,105.0
p34,AGGR,5.49048991179,5.56476015269,5.27930793403,5.61927630221,5.84916849292,5.15186505174,5.45967708011,4.81149020615,4.28975556068,6.17421775434,5.45901953558,5.195595851,4.50915597265,5.17223604377,5.35455981163,5.81847256707,6.1112403399,5.22618170363,96.5364702719
p35,A1ITBXITLY2952,6.0,6.0,6.0,6.0,5.0,7.0,7.0,4.0,6.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,107.0
p35,A1OLRUT93TXWEP,5.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,96.0
p35,A1ZQ7A1CUV6RD8,5.0,4.0,3.0,6.0,3.0,4.0,3.0,5.25,6.0,4.0,7.0,2.0,1.0,7.0,5.0,7.0,7.0,3.0,82.25
p35,A2F7D8EOTB663,6.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,113.0
p35,A323WW03VM8089,6.0,5.0,5.0,6.0,5.0,2.0,5.0,5.25,4.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,90.25
p35,A34M93NJC830DP,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,93.0
p35,ABM77ZQWCHPNX,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,1.0,115.0
p35,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,3.0,7.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,113.0
p35,ARX0S1CIDJLOX,6.0,5.0,4.0,6.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,4.0,3.0,6.0,7.0,7.0,5.0,105.0
p35,AGGR,5.63083569831,5.43390989428,5.13351791584,5.70893798535,5.16482600862,6.04989176423,6.26681112827,4.92479784023,5.46206880188,6.11787182299,6.06333863711,5.46963367343,4.95273468811,5.59542775822,5.75599580843,6.17904335,6.43728315085,4.90395632941,101.250882256
p37,A1ITBXITLY2952,5.0,5.0,6.0,5.0,6.0,6.0,7.0,4.0,3.0,7.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,97.0
p37,A1OLRUT93TXWEP,6.0,5.0,6.0,6.0,6.0,5.0,7.0,5.0,4.0,7.0,7.0,5.0,7.0,4.0,5.0,6.0,7.0,4.0,102.0
p37,A1ZQ7A1CUV6RD8,5.0,6.0,7.0,7.0,6.0,3.0,7.0,5.25,2.0,7.0,7.0,7.0,2.0,7.0,6.0,6.0,7.0,6.0,103.25
p37,A2F7D8EOTB663,6.0,6.0,5.0,7.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,110.0
p37,A323WW03VM8089,4.0,4.0,3.0,3.0,4.0,3.0,3.0,7.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,7.0,2.0,69.0
